epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,211079,0.79094,0.33264,0.83608,0.98723,0.99353,0.99052,0.73656,0.95623,0.35855,0.87126,0.000349979,0.000349979,0.000349979
43,215668,0.77807,0.32951,0.83379,0.98873,0.99314,0.99048,0.73984,0.94211,0.35427,0.86935,0.000338198,0.000338198,0.000338198
44,220244,0.77887,0.32891,0.83503,0.98759,0.9936,0.99022,0.73582,0.96105,0.36185,0.86995,0.000326417,0.000326417,0.000326417
45,224818,0.77308,0.32677,0.8333,0.98732,0.99248,0.98974,0.72845,0.96159,0.36131,0.87321,0.000314636,0.000314636,0.000314636
46,229391,0.76827,0.32461,0.83329,0.98684,0.99251,0.98922,0.73239,0.96272,0.35985,0.87317,0.000302855,0.000302855,0.000302855
47,233974,0.75175,0.31993,0.83097,0.98765,0.993,0.9901,0.7235,0.9767,0.36311,0.87671,0.000291074,0.000291074,0.000291074
48,238554,0.73855,0.31418,0.8304,0.98774,0.99347,0.98938,0.72592,0.96878,0.36311,0.87499,0.000279293,0.000279293,0.000279293
49,243509,0.72241,0.30858,0.82906,0.98666,0.99244,0.98949,0.72372,0.95691,0.35637,0.87542,0.000267512,0.000267512,0.000267512
50,248108,0.72052,0.31024,0.82743,0.98458,0.99291,0.98905,0.72906,0.96997,0.35931,0.87722,0.000255731,0.000255731,0.000255731
51,252703,0.7138,0.30629,0.82773,0.9854,0.99208,0.98835,0.72231,0.9678,0.36101,0.87722,0.00024395,0.00024395,0.00024395
52,257302,0.70154,0.30158,0.82754,0.98707,0.99252,0.98973,0.72398,0.95392,0.35758,0.87543,0.000232169,0.000232169,0.000232169
53,261904,0.69918,0.30175,0.82431,0.98506,0.99281,0.98925,0.71897,0.96146,0.359,0.87809,0.000220388,0.000220388,0.000220388
54,266511,0.68909,0.29735,0.82464,0.98547,0.99359,0.98932,0.71339,0.97997,0.36432,0.87962,0.000208607,0.000208607,0.000208607
55,271122,0.67928,0.29392,0.8237,0.98533,0.99387,0.98956,0.7175,0.97498,0.36326,0.88052,0.000196826,0.000196826,0.000196826
56,275732,0.68044,0.2944,0.82395,0.98644,0.99216,0.98927,0.72047,0.96007,0.35938,0.87816,0.000185045,0.000185045,0.000185045
57,280329,0.66771,0.28938,0.82258,0.98555,0.99316,0.98942,0.71502,0.97836,0.36496,0.88012,0.000173264,0.000173264,0.000173264
58,284924,0.65776,0.28632,0.82131,0.98661,0.9935,0.99,0.7165,0.96829,0.36079,0.87955,0.000161483,0.000161483,0.000161483
59,289519,0.65285,0.28443,0.82143,0.98616,0.99247,0.98978,0.71726,0.96871,0.36097,0.88054,0.000149702,0.000149702,0.000149702
60,294031,0.64497,0.28166,0.82009,0.98657,0.99321,0.98877,0.7149,0.96524,0.3618,0.87921,0.000137921,0.000137921,0.000137921
61,298473,0.54483,0.24776,0.81519,0.98405,0.99291,0.98967,0.71644,0.98268,0.36722,0.88316,0.00012614,0.00012614,0.00012614
62,302917,0.51979,0.23918,0.81158,0.9858,0.99262,0.98944,0.71334,0.97597,0.36448,0.88402,0.000114359,0.000114359,0.000114359
63,307367,0.50204,0.2345,0.80822,0.98577,0.99074,0.98887,0.71238,0.96795,0.36317,0.88335,0.000102578,0.000102578,0.000102578
64,311812,0.4972,0.2316,0.80913,0.98598,0.99214,0.98899,0.7179,0.95093,0.35938,0.88101,9.0797e-05,9.0797e-05,9.0797e-05
65,316257,0.48134,0.22554,0.80609,0.9876,0.99296,0.99032,0.71714,0.95741,0.36247,0.88283,7.9016e-05,7.9016e-05,7.9016e-05
66,320701,0.47277,0.22411,0.80469,0.98499,0.99108,0.98849,0.71773,0.94284,0.36105,0.88056,6.7235e-05,6.7235e-05,6.7235e-05
67,325154,0.46606,0.22016,0.8041,0.98367,0.99163,0.98809,0.71878,0.94096,0.36028,0.88023,5.5454e-05,5.5454e-05,5.5454e-05
68,329487,0.45526,0.21658,0.80327,0.98617,0.99119,0.98922,0.71821,0.94441,0.3602,0.88066,4.3673e-05,4.3673e-05,4.3673e-05
69,333942,0.44796,0.21437,0.80062,0.98428,0.99026,0.98825,0.72036,0.93998,0.36097,0.88061,3.1892e-05,3.1892e-05,3.1892e-05
70,338401,0.44039,0.2117,0.80007,0.98491,0.99113,0.98905,0.71895,0.94391,0.3625,0.88148,2.0111e-05,2.0111e-05,2.0111e-05
